河北联通-组播0922,#genre#
辽宁影视剧,http://36.129.204.120:65501/1052.m3u8
深圳卫视4K,http://36.129.204.120:65501/1086.m3u8
北京卫视,http://36.129.204.120:65501/1019.m3u8
贵州卫视,http://36.129.204.120:65501/1040.m3u8
天津卫视,http://36.129.204.120:65501/1020.m3u8
湖南卫视,http://36.129.204.120:65501/1021.m3u8
浙江卫视,http://36.129.204.120:65501/1022.m3u8
江苏卫视,http://36.129.204.120:65501/1023.m3u8
安徽卫视,http://36.129.204.120:65501/1024.m3u8
东方卫视,http://36.129.204.120:65501/1025.m3u8
吉林卫视,http://36.129.204.120:65501/1027.m3u8
山东卫视,http://36.129.204.120:65501/1028.m3u8
山西卫视,http://36.129.204.120:65501/1029.m3u8
广东卫视,http://36.129.204.120:65501/1030.m3u8
辽宁卫视,http://36.129.204.120:65501/1018.m3u8
陕西卫视,http://36.129.204.120:65501/1041.m3u8
西藏卫视,http://36.129.204.120:65501/1046.m3u8
甘肃卫视,http://36.129.204.120:65501/1045.m3u8
新疆卫视,http://36.129.204.120:65501/1044.m3u8
青海卫视,http://36.129.204.120:65501/1043.m3u8
广西卫视,http://36.129.204.120:65501/1031.m3u8
动漫秀场,http://36.129.204.120:65501/1101.m3u8
江西卫视,http://36.129.204.120:65501/1033.m3u8
重庆卫视,http://36.129.204.120:65501/1036.m3u8
夏门卫视,http://36.129.204.120:65501/1038.m3u8
四川卫视,http://36.129.204.120:65501/1035.m3u8

来自河北联通的组播源(221.194.78.148:2222)共有313个频道：
河北唐山联通0925,#genre#
河北经济生活高清,http://221.194.78.148:2222/rtp/239.253.92.154:6011
河北都市高清,http://221.194.78.148:2222/rtp/239.253.92.171:6001
河北影视剧高清,http://221.194.78.148:2222/rtp/239.253.92.172:6002
河北少儿科教高清,http://221.194.78.148:2222/rtp/239.253.92.173:6003
河北公共高清,http://221.194.78.148:2222/rtp/239.253.92.174:6004
河北农民高清,http://221.194.78.148:2222/rtp/239.253.92.175:6005
CCTV-1综合,http://221.194.78.148:2222/rtp/239.253.92.176:6006
CCTV-2财经,http://221.194.78.148:2222/rtp/239.253.92.83:8012
CCTV-3综艺,http://221.194.78.148:2222/rtp/239.253.92.190:6065
CCTV-4亚洲,http://221.194.78.148:2222/rtp/239.253.92.191:6057
CCTV-5体育,http://221.194.78.148:2222/rtp/239.253.92.251:6141
CCTV-7国防军事,http://221.194.78.148:2222/rtp/239.253.92.193:6058
CCTV-8电视剧,http://221.194.78.148:2222/rtp/239.253.92.194:6059
CCTV-9纪录,http://221.194.78.148:2222/rtp/239.253.92.195:6060
CCTV-10科教,http://221.194.78.148:2222/rtp/239.253.92.107:6020
CCTV-11戏曲,http://221.194.78.148:2222/rtp/239.253.92.196:6061
CCTV-12社会与法,http://221.194.78.148:2222/rtp/239.253.93.153:6321
CCTV-13新闻,http://221.194.78.148:2222/rtp/239.253.92.197:6062
CCTV-14少儿,http://221.194.78.148:2222/rtp/239.253.92.13:8008
CCTV-15音乐,http://221.194.78.148:2222/rtp/239.253.92.198:6063
CCTV-17农业农村,http://221.194.78.148:2222/rtp/239.253.93.154:6322
CCTV-5+体育赛事,http://221.194.78.148:2222/rtp/239.253.93.150:6318
CGTN国际,http://221.194.78.148:2222/rtp/239.253.92.82:8013
睛彩河北,http://221.194.78.148:2222/rtp/239.253.92.15:8011
石家庄娱乐,http://221.194.78.148:2222/rtp/239.253.92.149:6035
石家庄生活,http://221.194.78.148:2222/rtp/239.253.92.93:8120
石家庄都市,http://221.194.78.148:2222/rtp/239.253.92.94:8121
湖南卫视高清,http://221.194.78.148:2222/rtp/239.253.92.95:8122
浙江卫视高清,http://221.194.78.148:2222/rtp/239.253.92.84:8015
江苏卫视高清,http://221.194.78.148:2222/rtp/239.253.92.90:8020
北京卫视高清,http://221.194.78.148:2222/rtp/239.253.92.88:8018
东南卫视高清,http://221.194.78.148:2222/rtp/239.253.92.87:8014
东方卫视高清,http://221.194.78.148:2222/rtp/239.253.92.201:6146
天津卫视高清,http://221.194.78.148:2222/rtp/239.253.92.89:8019
深圳卫视高清,http://221.194.78.148:2222/rtp/239.253.92.91:8021
山东卫视高清,http://221.194.78.148:2222/rtp/239.253.92.86:8017
广东卫视高清,http://221.194.78.148:2222/rtp/239.253.92.207:8109
黑龙江卫视高清,http://221.194.78.148:2222/rtp/239.253.92.206:8108
辽宁卫视高清,http://221.194.78.148:2222/rtp/239.253.92.85:8016
安徽卫视高清,http://221.194.78.148:2222/rtp/239.253.92.115:6056
湖北卫视高清,http://221.194.78.148:2222/rtp/239.253.92.209:6566
四川卫视高清,http://221.194.78.148:2222/rtp/239.253.92.210:6567
重庆卫视高清,http://221.194.78.148:2222/rtp/239.253.92.16:6043
河南卫视高清,http://221.194.78.148:2222/rtp/239.253.92.10:6053
金鹰纪实高清,http://221.194.78.148:2222/rtp/239.253.92.137:6144
广西卫视高清,http://221.194.78.148:2222/rtp/239.253.92.103:6054
贵州卫视高清,http://221.194.78.148:2222/rtp/239.253.92.76:8043
江西卫视高清,http://221.194.78.148:2222/rtp/239.253.92.105:6055
吉林卫视高清,http://221.194.78.148:2222/rtp/239.253.92.19:6145
海南卫视高清,http://221.194.78.148:2222/rtp/239.253.92.202:6147
BRTV纪实科教,http://221.194.78.148:2222/rtp/239.253.93.155:6323
承德新闻综合,http://221.194.78.148:2222/rtp/239.253.93.190:6358
承德公共,http://221.194.78.148:2222/rtp/239.253.92.222:8112
张家口新闻综合,http://221.194.78.148:2222/rtp/239.253.92.223:8113
张家口公共,http://221.194.78.148:2222/rtp/239.253.92.225:8115
秦皇岛新闻综合,http://221.194.78.148:2222/rtp/239.253.92.226:8116
秦皇岛公共,http://221.194.78.148:2222/rtp/239.253.92.52:6021
秦皇岛影视,http://221.194.78.148:2222/rtp/239.253.92.53:6022
唐山新闻综合,http://221.194.78.148:2222/rtp/239.253.92.54:6023
唐山生活服务,http://221.194.78.148:2222/rtp/239.253.92.245:6089
唐山影视,http://221.194.78.148:2222/rtp/239.253.92.126:6026
唐山公共,http://221.194.78.148:2222/rtp/239.253.92.127:6027
廊坊新闻,http://221.194.78.148:2222/rtp/239.253.92.128:6028
廊坊公共,http://221.194.78.148:2222/rtp/239.253.92.164:6036
沧州新闻综合,http://221.194.78.148:2222/rtp/239.253.92.166:6037
沧州公共,http://221.194.78.148:2222/rtp/239.253.92.121:6015
沧州影视娱乐,http://221.194.78.148:2222/rtp/239.253.92.122:6016
保定新闻综合,http://221.194.78.148:2222/rtp/239.253.92.123:6017
保定公共频道,http://221.194.78.148:2222/rtp/239.253.93.2:6153
保定生活健康,http://221.194.78.148:2222/rtp/239.253.93.4:6157
衡水新闻综合,http://221.194.78.148:2222/rtp/239.253.93.5:6158
衡水公共,http://221.194.78.148:2222/rtp/239.253.93.3:6154
邢台综合,http://221.194.78.148:2222/rtp/239.253.93.7:6160
邢台城市生活,http://221.194.78.148:2222/rtp/239.253.93.8:6161
邯郸新闻综合,http://221.194.78.148:2222/rtp/239.253.93.10:6163
邯郸公共,http://221.194.78.148:2222/rtp/239.253.93.11:6164
邯郸科技教育,http://221.194.78.148:2222/rtp/239.253.93.12:6165
元氏电视,http://221.194.78.148:2222/rtp/239.253.93.13:6166
无极电视,http://221.194.78.148:2222/rtp/239.253.92.142:6040
高邑电视,http://221.194.78.148:2222/rtp/239.253.92.138:6222
栾城电视,http://221.194.78.148:2222/rtp/239.253.92.160:6041
井陉矿区电视,http://221.194.78.148:2222/rtp/239.253.92.187:6051
赞皇电视,http://221.194.78.148:2222/rtp/239.253.92.215:6067
深泽电视,http://221.194.78.148:2222/rtp/239.253.92.12:6042
赵县电视,http://221.194.78.148:2222/rtp/239.253.94.31:6630
晋州电视,http://221.194.78.148:2222/rtp/239.253.93.140:6308
井陉电视,http://221.194.78.148:2222/rtp/239.253.93.156:6324
平泉电视,http://221.194.78.148:2222/rtp/239.253.93.205:6383
滦平电视,http://221.194.78.148:2222/rtp/239.253.92.156:6012
双滦电视,http://221.194.78.148:2222/rtp/239.253.92.100:6142
兴隆电视,http://221.194.78.148:2222/rtp/239.253.92.147:6224
隆化电视,http://221.194.78.148:2222/rtp/239.253.93.104:6271
承德电视,http://221.194.78.148:2222/rtp/239.253.93.174:6342
宽城新闻,http://221.194.78.148:2222/rtp/239.253.94.28:6627
任县电视,http://221.194.78.148:2222/rtp/239.253.93.117:6019
邯山电视,http://221.194.78.148:2222/rtp/239.253.93.145:6313
崇礼电视,http://221.194.78.148:2222/rtp/239.253.93.146:6314
顺平电视,http://221.194.78.148:2222/rtp/239.253.93.147:6315
张北电视,http://221.194.78.148:2222/rtp/239.253.93.148:6316
尚义电视,http://221.194.78.148:2222/rtp/239.253.93.159:6327
邱县电视,http://221.194.78.148:2222/rtp/239.253.93.163:6331
赤城电视,http://221.194.78.148:2222/rtp/239.253.93.158:6326
康保电视,http://221.194.78.148:2222/rtp/239.253.93.160:6328
